model,scenario,region,variable,unit,subannual,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2030,2040,2050,2060
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Rural Eff,,9,,,,,,,,,,,,,3.324000000000001e-05,0.0,0.0,0.0,0.0
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,1,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,10,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,11,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,12,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,2,,,,,,,,,,,,,0.0,0.00014849999999999998,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,3,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,4,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,5,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,6,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,7,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
MESSAGEix_ZM,MLED_ambitious_nexus_full,B10|Lusaka,Water Withdrawal|Municipal Water|Connected|Urban Eff,,8,,,,,,,,,,,,,0.0,0.0001782,0.0002376,0.00029699999999999996,0.0003564
